GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US1751622,Naperville city,149540,94791,7469,258,33337,51,3330,10304,10374,55348,53208,2140,13459,39749,74047,4232,78279,0.4422,456400,129664
1600000US1765000,Rockford city,148655,77669,34240,1136,5213,44,14750,15603,29583,66612,60190,6422,28409,31781,58973,8676,67649,0.4664,101700,44525
1600000US0908000,Bridgeport city,148654,33697,52138,1398,4141,127,36513,20640,62853,58874,54261,4613,34181,20080,75537,6808,82345,0.5023,222800,46445
1600000US3673000,Syracuse city,148620,71175,45588,1408,10403,67,6574,13405,15625,66791,59336,7455,38920,20416,59583,4428,64011,0.4915,123000,40076
1600000US1369000,Savannah city,147780,56063,72618,459,5664,257,4532,8187,9789,68089,58949,9140,33360,25589,67078,5418,72496,0.4706,196900,49612
1600000US0662938,Roseville city,147773,96882,3756,1227,18714,546,7832,18816,24057,57318,55237,2081,18976,36261,75784,3330,79114,0.4035,605300,107714
1600000US0680000,Torrance city,147067,57337,5048,803,52509,603,11397,19370,28080,58775,56655,2120,25985,30670,69844,5201,75045,0.4439,930500,100392
1600000US0628000,Fullerton city,143617,52164,3284,1799,38382,349,26201,21438,54225,50411,48412,1999,24156,24256,68100,7270,75370,0.4852,790900,95431
1600000US0471510,Surprise city,143148,102613,7824,1283,3949,345,9076,18058,28373,58831,52309,6522,11853,40456,64333,2948,67281,0.3816,354100,78411
1600000US4845384,McAllen city,142210,48974,1178,1114,3688,33,25924,61299,123250,53622,48717,4905,19709,29008,64137,4711,68848,0.458,164300,57359
1600000US0877290,Thornton city,141867,85283,2967,2141,8451,162,18526,24337,51392,50733,48849,1884,13927,34922,75575,5330,80905,0.3627,449200,93873
1600000US0682954,Visalia city,141384,65272,2969,2761,8157,221,38042,23962,74575,48441,46561,1880,17943,28618,59639,5445,65084,0.4664,315100,64165
1600000US2052575,Olathe city,141290,104405,8444,735,6336,125,6739,14506,17485,51820,50070,1750,14208,35862,80048,1750,81798,0.4179,314300,99631
1600000US1225175,Gainesville city,141085,81107,29115,403,10998,57,5265,14140,19445,63612,57808,5804,38423,19385,68759,2830,71589,0.5032,195300,40822
1600000US4983470,West Valley City city,140230,69400,3915,2596,8031,6454,31493,18341,55278,42001,40774,1227,12888,27886,73419,3154,76573,0.356,343300,74348
1600000US0653980,Orange city,139911,65071,2442,1765,18392,388,28982,22871,57575,46893,45382,1511,19497,25885,69144,4692,73836,0.4355,827200,103045
1600000US4819972,Denton city,139869,85580,15910,1373,6121,177,12413,18295,34453,58085,54092,3993,29324,24768,82349,5609,87958,0.4588,288300,64873
1600000US2684000,Warren city,139387,86931,28386,411,14335,31,1387,7906,3563,58411,54933,3478,16622,38311,65428,8190,73618,0.4232,170000,60042
1600000US0656000,Pasadena city,138699,57835,11272,1883,24550,156,22024,20979,45742,61643,57984,3659,33122,24862,73172,5119,78291,0.5116,905900,86677
1600000US4876000,Waco city,138486,69083,27868,1449,3612,116,18611,17747,43857,58107,52226,5881,28999,23227,64326,3776,68102,0.5101,177300,49952
1600000US1912000,Cedar Rapids city,137710,107121,14338,402,3764,488,2274,9323,6502,62398,58128,4270,19933,38195,72678,3766,76444,0.4485,165500,60977
1600000US3921000,Dayton city,137644,65511,55981,514,1968,77,4567,9026,7859,68899,57751,11148,31629,26122,53370,5905,59275,0.4531,85000,39315
1600000US3421000,Elizabeth city,137298,27542,24260,1529,2908,53,51339,29667,90233,48439,46314,2125,35168,11146,62515,4457,66972,0.4621,405800,51549
1600000US5135000,Hampton city,137148,51202,67915,647,3568,241,3220,10355,8411,62444,57612,4832,26529,31083,64197,3940,68137,0.4538,211900,57647
1600000US4516000,Columbia city,136632,69276,52598,414,4183,122,3090,6949,8103,61010,53522,7488,30148,23374,63184,6929,70113,0.5453,218500,47524
1600000US5335415,Kent city,136588,54164,17423,1316,32240,3591,13258,14596,22449,49157,47058,2099,21474,25584,65978,5406,71384,0.4171,523000,81373
1600000US0973000,Stamford city,135470,69598,17032,965,11544,42,20438,15851,37958,56953,53241,3712,27955,25286,77459,3543,81002,0.497,576000,100543
1600000US0682590,Victorville city,134810,39804,24156,2780,5640,750,39728,21952,74745,38928,37024,1904,15744,21280,50735,7657,58392,0.398,323400,65478
1600000US1245975,Miramar city,134721,22226,57109,347,7940,41,13291,33767,55337,43826,42272,1554,13781,28491,76248,3635,79883,0.394,374600,79282
1600000US1214400,Coral Springs city,134394,57843,31227,382,7578,46,12063,25255,39472,47946,45892,2054,18718,27174,68752,4158,72910,0.4187,455000,81067
